Артикул,Номенклатура,Бренд,Склад_РТЛ,Статус_РТЛ,Кол-во_РТЛ,РТЛ_спец,РТЛ_премиум,РТЛ_цена_в_пути,ATS_цена,ATS_Δ,STparts_цена,STparts_Δ,Autotrade_цена,Autotrade_Δ,Froza_цена,Froza_Δ,Вердикт,Мин_конкурент,Δ_мин_к_спец,Δ%_мин
02615,"Масло ГУР Febi 02615, минеральное, (Германия), (1л)",Febi,Москва,В пути,—,841.5,841.5,—,657.0,-184.5,—,—,—,—,381.01,-460.49,дороже мин. на 460 руб. (54.7%),Froza 381,-460.49,-54.7
08880-83715,"Моторное масло Toyota SN 5W-30 / ILSAC GF-5, для бенз. двигателей, (Дубай), (208л)",Toyota,Москва,В пути,—,113000.0,113000.0,—,97491.0,-15509.0,—,—,—,—,—,—,дороже мин. на 15509 руб. (13.7%),ATS 97 491,-15509.0,-13.7
08880-83717,"Моторное масло Lexus SN 5W-40 / ILSAC GF-5, для бенз. двигателей, (Дубай), (4л)",Lexus,Москва,В наличии,1171,2417.0,2756.0,2417.0,2403.0,-14.0,—,—,—,—,1740.16,-676.8399999999999,дороже мин. на 677 руб. (28.0%),Froza 1 740.16,-676.84,-28.0
08880-84132,"Моторное масло Toyota SP 5W-30 / ILSAC GF-6A, для бенз. двигателей, (Дубай), (4л)",Toyota,Москва,В пути,—,2656.0,3028.0,2656.0,2566.0,-90.0,—,—,—,—,2892.38,236.3800000000001,дороже мин. на 90 руб. (3.4%),ATS 2 566,-90.0,-3.4
08880-84133,"Моторное масло Toyota SP 5W-30 / ILSAC GF-6, для бензин. двигателей (Дубай) (208л)",Toyota,Москва,В пути,—,117520.0,117520.0,—,103855.0,-13665.0,—,—,—,—,—,—,дороже мин. на 13665 руб. (11.6%),ATS 103 855,-13665.0,-11.6
08886-02805,"Трансмиссионное масло Toyota ATF WS, для АКПП, (Япония), (4л.)",Toyota,Москва,В наличии,820,4810.0,5484.0,4810.0,4679.0,-131.0,—,—,—,—,5640.57,830.5699999999997,дороже мин. на 131 руб. (2.7%),ATS 4 679,-131.0,-2.7
08886-02905,"Трансмиссионное масло Toyota CVTF Fluid TC, для вариаторов, (Япония), (4л)",Toyota,Москва,В пути,—,5119.0,5836.0,5119.0,4007.0,-1112.0,—,—,—,—,4857.19,-261.8100000000004,дороже мин. на 1112 руб. (21.7%),ATS 4 007,-1112.0,-21.7
08886-80506,"Трансмиссионное масло Toyota ATF Dexron III, для АКПП / ГУР, (Бельгия), (1л)",Toyota,Москва,В пути,—,1107.0,1225.0,1107.0,1018.0,-89.0,—,—,—,—,1111.6,4.599999999999909,дороже мин. на 89 руб. (8.0%),ATS 1 018,-89.0,-8.0
08886-81885,"Трансмиссионное масло Toyota ATF WS, для АКПП, (Таиланд), (4л)",Toyota,Москва,В наличии,6,4464.0,5089.0,4464.0,3966.0,-498.0,—,—,—,—,4305.58,-158.42000000000007,дороже мин. на 498 руб. (11.2%),ATS 3 966,-498.0,-11.2
08886-81895,"Трансмиссионное масло Toyota ATF Type T-IV, для АКПП (Таиланд), (4л)",Toyota,Москва,В пути,—,4287.0,4888.0,4287.0,4164.0,-123.0,—,—,—,—,5012.72,725.7200000000003,дороже мин. на 123 руб. (2.9%),ATS 4 164,-123.0,-2.9
08886-81905,"Трансмиссионное масло Toyota CVTF FE, для вариаторов, (Таиланд), (4л)",Toyota,Москва,В пути,—,5658.0,6451.0,5658.0,4399.0,-1259.0,—,—,—,—,—,—,дороже мин. на 1259 руб. (22.3%),ATS 4 399,-1259.0,-22.3
1011223,"Моторное масло HYUNDAI XTeer D800 C3 CF 5W-40, ACEA A3/B3/B4/C3, синтетическое, (Корея), (1л)",Hyundai,Москва,В наличии,3,781.0,865.0,781.0,—,—,—,—,—,—,100.19,-680.81,дороже мин. на 681 руб. (87.2%),Froza 100.19,-680.81,-87.2
14738,"Трансмиссионное масло Febi ATF Dexron III F, полусинтетическое, (Германия), (1л)",Febi,Москва,В пути,—,990.0,990.0,—,917.0,-73.0,924.0,-66.0,—,—,76.66,-913.34,дороже мин. на 913 руб. (92.3%),Froza 76.66,-913.34,-92.3
21647,"Масло ГУР Febi 21647 Zentralhydrauliköl, синтетическое, (Германия), (1л)",Febi,Москва,В пути,—,1210.0,1210.0,—,1059.0,-151.0,1101.0,-109.0,—,—,294.49,-915.51,дороже мин. на 916 руб. (75.7%),Froza 294.49,-915.51,-75.7
21829,"Трансмиссионное масло Febi, 75W, для МКПП (в т.ч. гибридных), синтетическое, (Германия), (1л)",Febi,Москва,В пути,—,1254.0,1254.0,—,1115.0,-139.0,884.59,-369.40999999999997,—,—,223.68,-1030.32,дороже мин. на 1030 руб. (82.2%),Froza 223.68,-1030.32,-82.2
22806,"Трансмиссионное масло Febi ATF Dexron III G/H, синтетическое, (Германия), (1 л)",Febi,Москва,В пути,—,1067.0,1067.0,—,937.0,-130.0,967.12,-99.88,—,—,1079.62,12.61999999999989,дороже мин. на 130 руб. (12.2%),ATS 937,-130.0,-12.2
27975,"Трансмиссионное масло Febi CVT, для вариаторов, (Германия), (1л)",Febi,Москва,В пути,—,1155.0,1155.0,—,1028.0,-127.0,1079.17,-75.82999999999993,—,—,236.2,-918.8,дороже мин. на 919 руб. (79.5%),Froza 236.20,-918.8,-79.5
29449,"Трансмиссионное масло Febi ATF, синтетическое, (Германия), (1л)",Febi,Москва,В пути,—,1034.0,1034.0,—,957.0,-77.0,946.0,-88.0,—,—,1124.86,90.8599999999999,дороже мин. на 88 руб. (8.5%),STparts 946,-88.0,-8.5
29738,"Трансмиссионное масло Febi ATF Dexron III F, полусинтетическое, (Германия), (5л)",Febi,Москва,В пути,—,4719.0,4719.0,—,3419.0,-1300.0,4290.0,-429.0,—,—,5080.55,361.5500000000002,дороже мин. на 1300 руб. (27.5%),ATS 3 419,-1300.0,-27.5
32590,"Трансмиссионное масло Febi 75W-90, API GL-5, синтетическое, (Германия), (1л)",Febi,Москва,В пути,—,1133.0,1133.0,—,1257.0,124.0,1189.88,56.88000000000011,—,—,322.52,-810.48,дороже мин. на 810 руб. (71.5%),Froza 322.52,-810.48,-71.5
34608,"Трансмиссионное масло Febi ATF, для АКПП, синтетическое, (Германия), (1л)",Febi,Москва,В пути,—,1111.0,1111.0,—,—,—,877.8,-233.20000000000005,—,—,1046.77,-64.23000000000002,дороже мин. на 233 руб. (21.0%),STparts 877.80,-233.2,-21.0
36449,"Трансмиссионное масло Febi ATF, синтетическое, (Германия), (5л)",Febi,Москва,В пути,—,5082.0,5082.0,—,4489.0,-593.0,4598.0,-484.0,—,—,2209.65,-2872.35,дороже мин. на 2872 руб. (56.5%),Froza 2 209.65,-2872.35,-56.5
39070,"Трансмиссионное масло Febi DSG, для робот. КПП с двойным сцеплением, (Германия), (1л)",Febi,Москва,В пути,—,1276.0,1276.0,—,1237.0,-39.0,1171.5,-104.5,—,—,400.67,-875.3299999999999,дороже мин. на 875 руб. (68.6%),Froza 400.67,-875.33,-68.6
39096,"Трансмиссионное масло Febi ATF, для АКПП, синтетическое, (Германия), (5л)",Febi,Москва,В пути,—,7546.0,7546.0,—,6890.0,-656.0,7546.77,0.7700000000004366,—,—,795.5,-6750.5,дороже мин. на 6750 руб. (89.5%),Froza 795.50,-6750.5,-89.5
4039645,"Жидкость гидроусилителя Mitsubishi PSF, для ГУР (красный), (Япония), (1л)",Mitsubishi,Москва,В пути,—,1114.0,1233.0,1114.0,—,—,1111.0,-3.0,—,—,1328.84,214.83999999999992,дороже мин. на 3 руб. (0.3%),STparts 1 111,-3.0,-0.3
48785,"Трансмиссионное масло Febi 75W-85, API GL-5, синтетическое, (Германия), (1л)",Febi,Москва,В пути,—,1683.0,1683.0,—,2026.0,343.0,1749.0,66.0,—,—,958.3,-724.7,дороже мин. на 725 руб. (43.1%),Froza 958.30,-724.7,-43.1
49700,"Трансмиссионное масло Febi ATF, для роботизированных МКПП, (Германия), (1л)",Febi,Москва,В пути,—,2387.0,2387.0,—,2431.0,44.0,2440.9,53.90000000000009,—,—,518.91,-1868.0900000000001,дороже мин. на 1868 руб. (78.3%),Froza 518.91,-1868.09,-78.3
550061548,"Моторное масло Shell Helix Ultra X SP 0W-30 (A3/B4), MB 229.5/226.5, (Оман), (4л)",Mercedes-Benz,Москва,В наличии,18,3256.0,3285.0,3256.0,2973.0,-283.0,—,—,—,—,—,—,дороже мин. на 283 руб. (8.7%),ATS 2 973,-283.0,-8.7
68518204AA,"Моторное масло Mopar MaxPro SP 5W-30 / ILSAC GF-6A, MS-6395, бензин, (США), (0,946л)",Mopar,Москва,В пути,—,694.0,769.0,694.0,591.0,-103.0,603.27,-90.73000000000002,—,—,716.82,22.82000000000005,дороже мин. на 103 руб. (14.8%),ATS 591,-103.0,-14.8
83212465843,"Моторное масло BMW Twin Power Turbo SL 5W-30 Longlife-01 (A3/B4), (Германия/Испания/Оман), (1л.)",BMW,Москва,В пути,—,1053.0,1201.0,1053.0,—,—,1064.78,11.779999999999973,—,—,808.52,-244.48000000000002,дороже мин. на 244 руб. (23.2%),Froza 808.52,-244.48,-23.2
83215A1C740,"Моторное масло BMW Twin Power Turbo SN 0W-30 Longlife-12 FE (C2), (Германия/Испания), (1л.)",BMW,Москва,В наличии,1,1900.0,2104.0,1900.0,—,—,1664.3,-235.70000000000005,—,—,—,—,дороже мин. на 236 руб. (12.4%),STparts 1 664.30,-235.7,-12.4
83215B5BFA4,"Моторное масло BMW Twin Power Turbo SN 5W-30 Longlife-04 (C3), (Германия), (1л)",BMW,Москва,В наличии,6659,1320.0,1505.0,1320.0,—,—,1173.88,-146.1199999999999,—,—,1331.25,11.25,дороже мин. на 146 руб. (11.1%),STparts 1 173.88,-146.12,-11.1
A000989320911ABDW,"Моторное масло Mercedes-Benz 5W-30 / MB 229.51, бензин/дизель, (Бельгия), (1л.)",Mercedes-Benz,Москва,В наличии,130,1617.0,1844.0,1617.0,1065.0,-552.0,1148.4,-468.5999999999999,—,—,—,—,дороже мин. на 552 руб. (34.1%),ATS 1 065,-552.0,-34.1
A000989440411FULW,"Трансмиссионное масло Mercedes-Benz ATF MB 236.15, (Бельгия), (1л.)",Mercedes-Benz,Москва,В наличии,204,1667.0,1901.0,1667.0,1436.0,-231.0,1495.41,-171.58999999999992,—,—,—,—,дороже мин. на 231 руб. (13.9%),ATS 1 436,-231.0,-13.9
A000989630811AAEW,"Моторное масло Mercedes-Benz 5W-40 / MB 229.5, бензин/дизель, (Бельгия), (1л)",Mercedes-Benz,Москва,В пути,—,919.0,1048.0,919.0,886.0,-33.0,1416.25,497.25,—,—,—,—,дороже мин. на 33 руб. (3.6%),ATS 886,-33.0,-3.6
A000989680511ADNE,"Трансмиссионное масло Mercedes-Benz ATF MB 236.14, (Европа), (1л)",Mercedes-Benz,Москва,В пути,—,1360.0,1506.0,1360.0,1782.0,422.0,1714.9,354.9000000000001,—,—,236.14,-1123.8600000000001,дороже мин. на 1124 руб. (82.6%),Froza 236.14,-1123.86,-82.6
A000989681011FSEW,"Моторное масло Mercedes-Benz 5W-40 / MB 229.5, (Германия), (1л)",Mercedes-Benz,Москва,В наличии,1030,909.0,1037.0,909.0,957.0,48.0,853.39,-55.610000000000014,—,—,—,—,дороже мин. на 56 руб. (6.1%),STparts 853.39,-55.61,-6.1
KLAPE05304,"Моторное масло Nissan SP 5W-30 / ILSAC GF-6, KLAPE05304, для бенз. двигателей, (Дубай), (4л)",Nissan,Москва,В наличии,6,3102.0,3537.0,3102.0,—,—,3045.25,-56.75,—,—,3560.81,458.80999999999995,дороже мин. на 57 руб. (1.8%),STparts 3 045.25,-56.75,-1.8
KLE5300004,"Трансмиссионное масло Nissan CVT Fluid NS-3, для вариаторов, (Япония), (4л)",Nissan,Москва,В пути,—,4735.0,5242.0,4735.0,—,—,6389.9,1654.8999999999996,—,—,4207.05,-527.9499999999998,дороже мин. на 528 руб. (11.1%),Froza 4 207.05,-527.95,-11.1
LIM10038-4EN,"Моторное масло Mazda ""GOLDEN"" SN 5W-30 / ILSAC GF-5, для бенз. двигателей, (Дубай), (4л)",Mazda,Москва,В наличии,1403,3104.0,3539.0,3104.0,2775.0,-329.0,—,—,—,—,—,—,дороже мин. на 329 руб. (10.6%),ATS 2 775,-329.0,-10.6
